,Unnamed: 0,pclass,survived,gender,age,sibsp,parch,fare,embarked
150,150,1,0,male,40.0,0,0,0.0,S
151,151,1,1,male,27.0,0,0,76.73,C
152,152,1,1,male,,0,0,30.0,S
153,153,1,1,female,24.0,0,0,83.16,C
154,154,1,0,male,55.0,1,1,93.5,S
155,155,1,1,female,52.0,1,1,93.5,S
156,156,1,0,male,42.0,0,0,42.5,S
157,157,1,0,male,,0,0,51.86,S
158,158,1,0,male,55.0,0,0,50.0,S
159,159,1,1,female,16.0,0,1,57.98,C
160,160,1,1,female,44.0,0,1,57.98,C
161,161,1,1,female,51.0,1,0,77.96,S
162,162,1,0,male,42.0,1,0,52.0,S
163,163,1,1,female,35.0,1,0,52.0,S
164,164,1,1,male,35.0,0,0,26.55,C
165,165,1,1,male,38.0,1,0,90.0,S
166,166,1,0,male,,0,0,30.7,C
167,167,1,1,female,35.0,1,0,90.0,S
169,169,1,0,female,50.0,0,0,28.71,C
170,170,1,1,male,49.0,0,0,0.0,S
171,171,1,0,male,46.0,0,0,26.0,S
172,172,1,0,male,50.0,0,0,26.0,S
173,173,1,0,male,32.5,0,0,211.5,C
174,174,1,0,male,58.0,0,0,29.7,C
175,175,1,0,male,41.0,1,0,51.86,S
176,176,1,1,female,,1,0,51.86,S
177,177,1,1,male,42.0,1,0,52.55,S
178,178,1,1,female,45.0,1,0,52.55,S
179,179,1,0,male,,0,0,26.55,S
180,180,1,1,female,39.0,0,0,211.34,S
181,181,1,1,female,49.0,0,0,25.93,S
182,182,1,1,female,30.0,0,0,106.43,C
183,183,1,1,male,35.0,0,0,512.33,C
184,184,1,0,male,,0,0,27.72,C
185,185,1,0,male,42.0,0,0,26.55,S
186,186,1,1,female,55.0,0,0,27.72,C
187,187,1,1,female,16.0,0,1,39.4,S
188,188,1,1,female,51.0,0,1,39.4,S
189,189,1,0,male,29.0,0,0,30.0,S
190,190,1,1,female,21.0,0,0,77.96,S
191,191,1,0,male,30.0,0,0,45.5,S
192,192,1,1,female,58.0,0,0,146.52,C
193,193,1,1,female,15.0,0,1,211.34,S
194,194,1,0,male,30.0,0,0,26.0,S
195,195,1,1,female,16.0,0,0,86.5,S
196,196,1,1,male,,0,0,29.7,C
197,197,1,0,male,19.0,1,0,53.1,S
198,198,1,1,female,18.0,1,0,53.1,S
199,199,1,1,female,24.0,0,0,49.5,C
200,200,1,0,male,46.0,0,0,75.24,C
201,201,1,0,male,54.0,0,0,51.86,S
202,202,1,1,male,36.0,0,0,26.29,S
203,203,1,0,male,28.0,1,0,82.17,C
204,204,1,1,female,,1,0,82.17,C
205,205,1,0,male,65.0,0,0,26.55,S
206,206,1,0,male,44.0,2,0,90.0,Q
207,207,1,1,female,33.0,1,0,90.0,Q
208,208,1,1,female,37.0,1,0,90.0,Q
209,209,1,1,male,30.0,1,0,57.75,C
210,210,1,0,male,55.0,0,0,30.5,S
211,211,1,0,male,47.0,0,0,42.4,S
212,212,1,0,male,37.0,0,1,29.7,C
213,213,1,1,female,31.0,1,0,113.28,C
214,214,1,1,female,23.0,1,0,113.28,C
215,215,1,0,male,58.0,0,2,113.28,C
216,216,1,1,female,19.0,0,2,26.28,S
217,217,1,0,male,64.0,0,0,26.0,S
218,218,1,1,female,39.0,0,0,108.9,C
219,219,1,1,male,,0,0,25.74,C
220,220,1,1,female,22.0,0,1,61.98,C
221,221,1,0,male,65.0,0,1,61.98,C
222,222,1,0,male,28.5,0,0,27.72,C
223,223,1,0,male,,0,0,0.0,S
224,224,1,0,male,45.5,0,0,28.5,S
225,225,1,0,male,23.0,0,0,93.5,S
226,226,1,0,male,29.0,1,0,66.6,S
227,227,1,1,female,22.0,1,0,66.6,S
228,228,1,0,male,18.0,1,0,108.9,C
229,229,1,1,female,17.0,1,0,108.9,C
230,230,1,1,female,30.0,0,0,93.5,S
231,231,1,1,male,52.0,0,0,30.5,S
232,232,1,0,male,47.0,0,0,52.0,S
233,233,1,1,female,56.0,0,1,83.16,C
234,234,1,0,male,38.0,0,0,0.0,S
235,235,1,1,male,,0,0,39.6,S
236,236,1,0,male,22.0,0,0,135.63,C
237,237,1,0,male,,0,0,227.53,C
238,238,1,1,female,43.0,0,1,211.34,S
239,239,1,0,male,31.0,0,0,50.5,S
240,240,1,1,male,45.0,0,0,26.55,S
241,241,1,0,male,,0,0,50.0,S
242,242,1,1,female,33.0,0,0,27.72,C
243,243,1,0,male,46.0,0,0,79.2,C
244,244,1,0,male,36.0,0,0,40.13,C
245,245,1,1,female,33.0,0,0,86.5,S
246,246,1,0,male,55.0,1,0,59.4,C
247,247,1,1,female,54.0,1,0,59.4,C
248,248,1,0,male,33.0,0,0,26.55,S
249,249,1,1,male,13.0,2,2,262.38,C
250,250,1,1,female,18.0,2,2,262.38,C
251,251,1,1,female,21.0,2,2,262.38,C
252,252,1,0,male,61.0,1,3,262.38,C
253,253,1,1,female,48.0,1,3,262.38,C
254,254,1,1,male,,0,0,30.5,S
255,255,1,1,female,24.0,0,0,69.3,C
256,256,1,1,male,,0,0,26.0,S
257,257,1,1,female,35.0,1,0,57.75,C
258,258,1,1,female,30.0,0,0,31.0,C
259,259,1,1,male,34.0,0,0,26.55,S
260,260,1,1,female,40.0,0,0,153.46,S
261,261,1,1,male,35.0,0,0,26.29,S
262,262,1,0,male,50.0,1,0,55.9,S
263,263,1,1,female,39.0,1,0,55.9,S
264,264,1,1,male,56.0,0,0,35.5,C
265,265,1,1,male,28.0,0,0,35.5,S
266,266,1,0,male,56.0,0,0,26.55,S
267,267,1,0,male,56.0,0,0,30.7,C
268,268,1,0,male,24.0,1,0,60.0,S
269,269,1,0,male,,0,0,26.0,S
270,270,1,1,female,18.0,1,0,60.0,S
271,271,1,1,male,24.0,1,0,82.27,S
272,272,1,1,female,23.0,1,0,82.27,S
273,273,1,1,male,6.0,0,2,134.5,C
274,274,1,1,male,45.0,1,1,134.5,C
275,275,1,1,female,40.0,1,1,134.5,C
276,276,1,0,male,57.0,1,0,146.52,C
277,277,1,1,female,,1,0,146.52,C
278,278,1,1,male,32.0,0,0,30.5,C
279,279,1,0,male,62.0,0,0,26.55,S
280,280,1,1,male,54.0,1,0,55.44,C
281,281,1,1,female,43.0,1,0,55.44,C
282,282,1,1,female,52.0,1,0,78.27,C
283,283,1,0,male,,0,0,27.72,C
285,285,1,0,male,67.0,1,0,221.78,S
286,286,1,0,female,63.0,1,0,221.78,S
287,287,1,0,male,61.0,0,0,32.32,S
288,288,1,1,female,48.0,0,0,25.93,S
289,289,1,1,female,18.0,0,2,79.65,S
290,290,1,0,male,52.0,1,1,79.65,S
291,291,1,1,female,39.0,1,1,79.65,S
292,292,1,1,male,48.0,1,0,52.0,S
293,293,1,1,female,,1,0,52.0,S
294,294,1,0,male,49.0,1,1,110.88,C
295,295,1,1,male,17.0,0,2,110.88,C
296,296,1,1,female,39.0,1,1,110.88,C
297,297,1,1,female,,0,0,79.2,C
298,298,1,1,male,31.0,0,0,28.54,C
299,299,1,0,male,40.0,0,0,27.72,C
300,300,1,0,male,61.0,0,0,33.5,S
301,301,1,0,male,47.0,0,0,34.02,S
302,302,1,1,female,35.0,0,0,512.33,C
303,303,1,0,male,64.0,1,0,75.25,C
304,304,1,1,female,60.0,1,0,75.25,C
305,305,1,0,male,60.0,0,0,26.55,S
306,306,1,0,male,54.0,0,1,77.29,S
307,307,1,0,male,21.0,0,1,77.29,S
308,308,1,1,female,55.0,0,0,135.63,C
309,309,1,1,female,31.0,0,2,164.87,S
310,310,1,0,male,57.0,1,1,164.87,S
311,311,1,1,female,45.0,1,1,164.87,S
312,312,1,0,male,50.0,1,1,211.5,C
313,313,1,0,male,27.0,0,2,211.5,C
314,314,1,1,female,50.0,1,1,211.5,C
315,315,1,1,female,21.0,0,0,26.55,S
316,316,1,0,male,51.0,0,1,61.38,C
317,317,1,1,male,21.0,0,1,61.38,C
318,318,1,0,male,,0,0,35.0,S
319,319,1,1,female,31.0,0,0,134.5,C
320,320,1,1,male,,0,0,35.5,S
321,321,1,0,male,62.0,0,0,26.55,S
322,322,1,1,female,36.0,0,0,135.63,C
323,323,2,0,male,30.0,1,0,24.0,C
324,324,2,1,female,28.0,1,0,24.0,C
325,325,2,0,male,30.0,0,0,13.0,S
326,326,2,0,male,18.0,0,0,11.5,S
327,327,2,0,male,25.0,0,0,10.5,S
328,328,2,0,male,34.0,1,0,26.0,S
329,329,2,1,female,36.0,1,0,26.0,S
330,330,2,0,male,57.0,0,0,13.0,S
331,331,2,0,male,18.0,0,0,11.5,S
332,332,2,0,male,23.0,0,0,10.5,S
333,333,2,1,female,36.0,0,0,13.0,S
334,334,2,0,male,28.0,0,0,10.5,S
335,335,2,0,male,51.0,0,0,12.53,S
336,336,2,1,male,32.0,1,0,26.0,S
337,337,2,1,female,19.0,1,0,26.0,S
338,338,2,0,male,28.0,0,0,26.0,S
339,339,2,1,male,1.0,2,1,39.0,S
340,340,2,1,female,4.0,2,1,39.0,S
341,341,2,1,female,12.0,2,1,39.0,S
342,342,2,1,female,36.0,0,3,39.0,S
343,343,2,1,male,34.0,0,0,13.0,S
344,344,2,1,female,19.0,0,0,13.0,S
345,345,2,0,male,23.0,0,0,13.0,S
346,346,2,0,male,26.0,0,0,13.0,S
347,347,2,0,male,42.0,0,0,13.0,S
348,348,2,0,male,27.0,0,0,13.0,S
349,349,2,1,female,24.0,0,0,13.0,S
350,350,2,1,female,15.0,0,2,39.0,S
351,351,2,0,male,60.0,1,1,39.0,S
352,352,2,1,female,40.0,1,1,39.0,S
353,353,2,1,female,20.0,1,0,26.0,S
354,354,2,0,male,25.0,1,0,26.0,S
355,355,2,1,female,36.0,0,0,13.0,S
356,356,2,0,male,25.0,0,0,13.0,S
357,357,2,0,male,42.0,0,0,13.0,S
358,358,2,1,female,42.0,0,0,13.0,S
359,359,2,1,male,0.8333,0,2,29.0,S
360,360,2,1,male,26.0,1,1,29.0,S
361,361,2,1,female,22.0,1,1,29.0,S
362,362,2,1,female,35.0,0,0,21.0,S
363,363,2,0,male,,0,0,0.0,S
364,364,2,0,male,19.0,0,0,13.0,S
365,365,2,0,female,44.0,1,0,26.0,S
366,366,2,0,male,54.0,1,0,26.0,S
367,367,2,0,male,52.0,0,0,13.5,S
368,368,2,0,male,37.0,1,0,26.0,S
369,369,2,0,female,29.0,1,0,26.0,S
370,370,2,1,female,25.0,1,1,30.0,S
371,371,2,1,female,45.0,0,2,30.0,S
372,372,2,0,male,29.0,1,0,26.0,S
373,373,2,1,female,28.0,1,0,26.0,S
374,374,2,0,male,29.0,0,0,10.5,S
375,375,2,0,male,28.0,0,0,13.0,S
376,376,2,1,male,24.0,0,0,10.5,S
377,377,2,1,female,8.0,0,2,26.25,S
378,378,2,0,male,31.0,1,1,26.25,S
379,379,2,1,female,31.0,1,1,26.25,S
380,380,2,1,female,22.0,0,0,10.5,S
381,381,2,0,female,30.0,0,0,13.0,S
382,382,2,0,female,,0,0,21.0,S
383,383,2,0,male,21.0,0,0,11.5,S
384,384,2,0,male,,0,0,0.0,S
385,385,2,1,male,8.0,1,1,36.75,S
386,386,2,0,male,18.0,0,0,73.5,S
387,387,2,1,female,48.0,0,2,36.75,S
388,388,2,1,female,28.0,0,0,13.0,S
389,389,2,0,male,32.0,0,0,13.0,S
390,390,2,0,male,17.0,0,0,73.5,S
391,391,2,0,male,29.0,1,0,27.72,C
392,392,2,1,female,24.0,1,0,27.72,C
393,393,2,0,male,25.0,0,0,31.5,S
394,394,2,0,male,18.0,0,0,73.5,S
395,395,2,1,female,18.0,0,1,23.0,S
396,396,2,1,female,34.0,0,1,23.0,S
397,397,2,0,male,54.0,0,0,26.0,S
398,398,2,1,male,8.0,0,2,32.5,S
399,399,2,0,male,42.0,1,1,32.5,S
400,400,2,1,female,34.0,1,1,32.5,S
401,401,2,1,female,27.0,1,0,13.86,C
402,402,2,1,female,30.0,1,0,13.86,C
403,403,2,0,male,23.0,0,0,13.0,S
404,404,2,0,male,21.0,0,0,13.0,S
405,405,2,0,male,18.0,0,0,13.0,S
406,406,2,0,male,40.0,1,0,26.0,S
407,407,2,1,female,29.0,1,0,26.0,S
408,408,2,0,male,18.0,0,0,10.5,S
409,409,2,0,male,36.0,0,0,13.0,S
410,410,2,0,male,,0,0,0.0,S
411,411,2,0,female,38.0,0,0,13.0,S
412,412,2,0,male,35.0,0,0,26.0,S
413,413,2,0,male,38.0,1,0,21.0,S
414,414,2,0,male,34.0,1,0,21.0,S
415,415,2,1,female,34.0,0,0,13.0,S
416,416,2,0,male,16.0,0,0,26.0,S
417,417,2,0,male,26.0,0,0,10.5,S
418,418,2,0,male,47.0,0,0,10.5,S
419,419,2,0,male,21.0,1,0,11.5,S
420,420,2,0,male,21.0,1,0,11.5,S
421,421,2,0,male,24.0,0,0,13.5,S
422,422,2,0,male,24.0,0,0,13.0,S
423,423,2,0,male,34.0,0,0,13.0,S
424,424,2,0,male,30.0,0,0,13.0,S
425,425,2,0,male,52.0,0,0,13.0,S
426,426,2,0,male,30.0,0,0,13.0,S
427,427,2,1,male,0.6667,1,1,14.5,S
428,428,2,1,female,24.0,0,2,14.5,S
429,429,2,0,male,44.0,0,0,13.0,S
430,430,2,1,female,6.0,0,1,33.0,S
431,431,2,0,male,28.0,0,1,33.0,S
432,432,2,1,male,62.0,0,0,10.5,S
433,433,2,0,male,30.0,0,0,10.5,S
434,434,2,1,female,7.0,0,2,26.25,S
435,435,2,0,male,43.0,1,1,26.25,S
436,436,2,1,female,45.0,1,1,26.25,S
437,437,2,1,female,24.0,1,2,65.0,S
438,438,2,1,female,24.0,1,2,65.0,S
439,439,2,0,male,49.0,1,2,65.0,S
440,440,2,1,female,48.0,1,2,65.0,S
441,441,2,1,female,55.0,0,0,16.0,S
442,442,2,0,male,24.0,2,0,73.5,S
443,443,2,0,male,32.0,2,0,73.5,S
444,444,2,0,male,21.0,2,0,73.5,S
445,445,2,0,female,18.0,1,1,13.0,S
446,446,2,1,female,20.0,2,1,23.0,S
447,447,2,0,male,23.0,2,1,11.5,S
448,448,2,0,male,36.0,0,0,13.0,S
449,449,2,1,female,54.0,1,3,23.0,S
450,450,2,0,male,50.0,0,0,13.0,S
451,451,2,0,male,44.0,1,0,26.0,S
452,452,2,1,female,29.0,1,0,26.0,S
453,453,2,0,male,21.0,0,0,73.5,S
454,454,2,1,male,42.0,0,0,13.0,S
455,455,2,0,male,63.0,1,0,26.0,S
456,456,2,0,female,60.0,1,0,26.0,S
457,457,2,0,male,33.0,0,0,12.28,S
458,458,2,1,female,17.0,0,0,10.5,S
459,459,2,0,male,42.0,1,0,27.0,S
460,460,2,1,female,24.0,2,1,27.0,S
461,461,2,0,male,47.0,0,0,15.0,S
462,462,2,0,male,24.0,2,0,31.5,S
463,463,2,0,male,22.0,2,0,31.5,S
464,464,2,0,male,32.0,0,0,10.5,S
465,465,2,1,female,23.0,0,0,13.79,C
466,466,2,0,male,34.0,1,0,26.0,S
467,467,2,1,female,24.0,1,0,26.0,S
468,468,2,0,female,22.0,0,0,21.0,S
469,469,2,1,female,,0,0,12.35,Q
470,470,2,0,male,35.0,0,0,12.35,Q
471,471,2,1,female,45.0,0,0,13.5,S
472,472,2,0,male,57.0,0,0,12.35,Q
473,473,2,0,male,,0,0,0.0,S
474,474,2,0,male,31.0,0,0,10.5,S
475,475,2,0,female,26.0,1,1,26.0,S
476,476,2,0,male,30.0,1,1,26.0,S
477,477,2,0,male,,0,0,10.71,Q
478,478,2,1,female,1.0,1,2,41.58,C
479,479,2,1,female,3.0,1,2,41.58,C
480,480,2,0,male,25.0,1,2,41.58,C
481,481,2,1,female,22.0,1,2,41.58,C
482,482,2,1,female,17.0,0,0,12.0,C
483,483,2,1,female,,0,0,33.0,S
484,484,2,1,female,34.0,0,0,10.5,S
485,485,2,0,male,36.0,0,0,12.88,C
486,486,2,0,male,24.0,0,0,10.5,S
487,487,2,0,male,61.0,0,0,12.35,Q
488,488,2,0,male,50.0,1,0,26.0,S
489,489,2,1,female,42.0,1,0,26.0,S
490,490,2,0,female,57.0,0,0,10.5,S
491,491,2,0,male,,0,0,15.05,C
492,492,2,1,male,1.0,0,2,37.0,C
493,493,2,0,male,31.0,1,1,37.0,C
494,494,2,1,female,24.0,1,1,37.0,C
495,495,2,0,male,,0,0,15.58,C
496,496,2,0,male,30.0,0,0,13.0,S
497,497,2,0,male,40.0,0,0,16.0,S
498,498,2,0,male,32.0,0,0,13.5,S
499,499,2,0,male,30.0,0,0,13.0,S
500,500,2,0,male,46.0,0,0,26.0,S
501,501,2,1,female,13.0,0,1,19.5,S
502,502,2,1,female,41.0,0,1,19.5,S
503,503,2,1,male,19.0,0,0,10.5,S
504,504,2,0,male,39.0,0,0,13.0,S
505,505,2,0,male,48.0,0,0,13.0,S
506,506,2,0,male,70.0,0,0,10.5,S
507,507,2,0,male,27.0,0,0,13.0,S
508,508,2,0,male,54.0,0,0,14.0,S
509,509,2,0,male,39.0,0,0,26.0,S
510,510,2,0,male,16.0,0,0,10.5,S
511,511,2,0,male,62.0,0,0,9.69,Q
512,512,2,0,male,32.5,1,0,30.07,C
513,513,2,1,female,14.0,1,0,30.07,C
514,514,2,1,male,2.0,1,1,26.0,S
515,515,2,1,male,3.0,1,1,26.0,S
516,516,2,0,male,36.5,0,2,26.0,S
517,517,2,0,male,26.0,0,0,13.0,S
518,518,2,0,male,19.0,1,1,36.75,S
519,519,2,0,male,28.0,0,0,13.5,S
520,520,2,1,male,20.0,0,0,13.86,C
521,521,2,1,female,29.0,0,0,10.5,S
522,522,2,0,male,39.0,0,0,13.0,S
523,523,2,1,male,22.0,0,0,10.5,S
524,524,2,1,male,,0,0,13.86,C
525,525,2,0,male,23.0,0,0,10.5,S
526,526,2,1,male,29.0,0,0,13.86,C
527,527,2,0,male,28.0,0,0,10.5,S
528,528,2,0,male,,0,0,0.0,S
529,529,2,1,female,50.0,0,1,26.0,S
530,530,2,0,male,19.0,0,0,10.5,S
531,531,2,0,male,,0,0,15.05,C
532,532,2,0,male,41.0,0,0,13.0,S
533,533,2,1,female,21.0,0,1,21.0,S
534,534,2,1,female,19.0,0,0,26.0,S
535,535,2,0,male,43.0,0,1,21.0,S
536,536,2,1,female,32.0,0,0,13.0,S
537,537,2,0,male,34.0,0,0,13.0,S
538,538,2,1,male,30.0,0,0,12.74,C
539,539,2,0,male,27.0,0,0,15.03,C
540,540,2,1,female,2.0,1,1,26.0,S
541,541,2,1,female,8.0,1,1,26.0,S
542,542,2,1,female,33.0,0,2,26.0,S
543,543,2,0,male,36.0,0,0,10.5,S
544,544,2,0,male,34.0,1,0,21.0,S
545,545,2,1,female,30.0,3,0,21.0,S
546,546,2,1,female,28.0,0,0,13.0,S
547,547,2,0,male,23.0,0,0,15.05,C
548,548,2,1,male,0.8333,1,1,18.75,S
549,549,2,1,male,3.0,1,1,18.75,S
550,550,2,1,female,24.0,2,3,18.75,S
551,551,2,1,female,50.0,0,0,10.5,S
552,552,2,0,male,19.0,0,0,10.5,S
553,553,2,1,female,21.0,0,0,10.5,S
554,554,2,0,male,26.0,0,0,13.0,S
555,555,2,0,male,25.0,0,0,13.0,S
556,556,2,0,male,27.0,0,0,26.0,S
557,557,2,1,female,25.0,0,1,26.0,S
558,558,2,1,female,18.0,0,2,13.0,S
559,559,2,1,female,20.0,0,0,36.75,S
560,560,2,1,female,30.0,0,0,13.0,S
561,561,2,0,male,59.0,0,0,13.5,S
562,562,2,1,female,30.0,0,0,12.35,Q
563,563,2,0,male,35.0,0,0,10.5,S
564,564,2,1,female,40.0,0,0,13.0,S
565,565,2,0,male,25.0,0,0,13.0,S
566,566,2,0,male,41.0,0,0,15.05,C
567,567,2,0,male,25.0,0,0,10.5,S
568,568,2,0,male,18.5,0,0,13.0,S
569,569,2,0,male,14.0,0,0,65.0,S
570,570,2,1,female,50.0,0,0,10.5,S
571,571,2,0,male,23.0,0,0,13.0,S
572,572,2,1,female,28.0,0,0,12.65,S
573,573,2,1,female,27.0,0,0,10.5,S
574,574,2,0,male,29.0,1,0,21.0,S
575,575,2,0,female,27.0,1,0,21.0,S
576,576,2,0,male,40.0,0,0,13.0,S
577,577,2,1,female,31.0,0,0,21.0,S
578,578,2,0,male,30.0,1,0,21.0,S
579,579,2,0,male,23.0,1,0,10.5,S
580,580,2,1,female,31.0,0,0,21.0,S
581,581,2,0,male,,0,0,0.0,S
582,582,2,1,female,12.0,0,0,15.75,S
583,583,2,1,female,40.0,0,0,15.75,S
584,584,2,1,female,32.5,0,0,13.0,S
585,585,2,0,male,27.0,1,0,26.0,S
586,586,2,1,female,29.0,1,0,26.0,S
587,587,2,1,male,2.0,1,1,23.0,S
